text	other	variety 	type
trapped in		Insertion	Standard
trapping	traps	Containment	Standard
trousers		Containment	Standard
tucked into		Insertion	Standard
undoing	undoes	Insertion	Advanced
undone by		Containment	Advanced
vices		Containment	Advanced
wearing	wears	Insertion	Standard
wedged in	wedges	Insertion	Standard
wedged with		Containment	Standard
wedges		Containment	Advanced
welcomed by		Insertion	Standard
welcoming	welcomes	Containment	Standard
wimples		Containment	Advanced
winding	winds	Containment	Advanced
within		Insertion	Standard
worn by		Containment	Standard
wound by		Insertion	Advanced
wrapped in		Insertion	Standard
wrapping	wraps	Containment	Standard
wreathed in		Insertion	Standard
